Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	# misassemblies	# local misassemblies	# unaligned contigs	Unaligned contigs length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genes	Largest alignment	NA50	NGA50	NA75	NGA75
M.abscessus_MiSeq_sga-sga.gam	1230	612	5380709	5193149	1117	59847	5361080	5090491	64.08	64.15	12696	13299	6883	8066	181	4	8 + 18 part	74740	99.334	1.044	0.00	2.02	0.44	4467 + 500 part	59847	12317	12748	6480	7623
M.abscessus_cabog-abyss.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
M.abscessus_MiSeq_sga-msrca.gam	749	236	5296299	5162585	636	106673	5276670	5090491	64.08	64.15	37469	39031	19808	23364	180	4	5 + 18 part	74202	99.340	1.027	0.00	2.37	0.42	4760 + 207 part	106673	36372	38592	18356	19878
M.abscessus_MiSeq_abyss-msrca.gam	235	69	5154034	5123652	118	334405	5139686	5090491	64.10	64.15	135261	144571	76935	77299	6	2	11 + 1 part	2411	99.222	1.020	4.24	1.80	0.91	4889 + 67 part	334405	120736	120736	70126	70424
M.abscessus_sga-velvet.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_MiSeq_abyss-abyss.gam	328	131	5149082	5104376	210	245660	5134536	5090491	64.10	64.15	70424	70424	39013	39233	5	2	11 + 4 part	14374	99.095	1.018	4.27	1.05	1.39	4831 + 124 part	245660	67488	68549	31809	32444
M.abscessus_sga-sga.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_sga-msrca.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_MiSeq_spades-abyss.gam	906	49	5412217	5146380	904	507233	5411968	5090491	62.76	64.15	245724	245724	110473	127769	21	6	811 + 7 part	259449	99.418	1.026	3.79	4.58	1.11	4915 + 52 part	506828	209894	220161	89745	110473
M.abscessus_mira-msrca.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_mira-sga.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_msrca-cabog.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_MiSeq_abyss-velvet.gam	260	88	5351442	5317962	142	245660	5336896	5090491	64.10	64.15	97841	97841	58138	64892	5	3	11 + 3 part	14319	99.175	1.062	4.68	3.57	2.63	4875 + 80 part	245660	91793	97841	51170	54715
M.abscessus_MiSeq_abyss-sga.gam	287	102	5147961	5108100	169	248333	5133415	5090491	64.10	64.15	87472	87472	51172	53942	6	2	11 + 2 part	2466	99.100	1.020	4.25	1.07	1.33	4857 + 98 part	245660	79677	81644	46283	49383
M.abscessus_MiSeq_spades-msrca.gam	906	50	5411976	5147114	904	498363	5411727	5090491	62.76	64.15	215400	223078	108178	122266	21	5	811 + 7 part	259449	99.424	1.022	2.75	4.64	1.03	4916 + 51 part	498363	209894	209894	80216	89745
M.abscessus_mira-abyss.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_MiSeq_msrca-abyss.gam	177	169	5288579	5283318	177	275208	5288579	5090491	64.09	64.15	78314	81010	46247	50620	68	3	0 + 11 part	57619	98.402	1.048	3.59	2.56	1.94	4842 + 87 part	275208	74624	76980	42042	46247
M.abscessus_msrca-sga.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_MiSeq_spades-sga.gam	909	52	5412273	5146436	907	498363	5412024	5090491	62.76	64.15	215400	220161	108178	122266	21	5	811 + 7 part	259449	99.424	1.022	3.40	4.72	1.07	4914 + 53 part	498363	209894	209894	80216	95280
M.abscessus_spades-spades.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_velvet-mira.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_MiSeq_mira-abyss.gam	2138	80	5916855	5165143	1731	286385	5853839	5090491	64.08	64.15	139329	164288	49576	68807	2358	37	78 + 122 part	33646	99.429	1.156	6.25	4.74	2.37	4882 + 85 part	277131	76951	92442	32441	50706
M.abscessus_MiSeq_sga-velvet.gam	648	142	5277025	5146556	535	214301	5257396	5090491	64.08	64.15	65045	67361	34387	37260	201	5	3 + 14 part	7344	99.182	1.041	0.00	5.63	1.82	4809 + 147 part	156745	54586	58460	27962	30385
M.abscessus_MiSeq_cabog-sga.gam	241	241	5100469	5100469	241	121270	5100469	5090491	64.09	64.15	39070	39070	21219	21219	76	4	0 + 3 part	29583	97.901	1.018	0.00	9.47	3.07	4679 + 243 part	121098	35870	35870	19577	19577
M.abscessus_spades-mira.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_MiSeq_spades-mira.gam	906	50	5412978	5148116	904	498363	5412729	5090491	62.76	64.15	215400	220161	108178	122266	21	5	811 + 7 part	259449	99.424	1.022	2.94	4.60	1.03	4918 + 49 part	498363	209894	209894	80216	89745
M.abscessus_abyss-sga.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_MiSeq_msrca-msrca.gam	326	316	5418490	5411756	326	104386	5418490	5090491	64.10	64.15	36211	38240	18405	21642	71	2	1 + 14 part	72188	98.387	1.067	0.00	2.86	1.66	4790 + 139 part	104372	33501	35580	17197	20039
M.abscessus_MiSeq_cabog-velvet.gam	250	249	5118857	5118434	250	139240	5118857	5090491	64.09	64.15	42826	42826	21229	21944	75	4	0 + 6 part	77500	98.171	1.013	0.00	15.29	6.08	4692 + 239 part	139240	40632	40798	19010	19150
M.abscessus_MiSeq_spades-velvet.gam	908	52	5412170	5147308	906	498363	5411921	5090491	62.76	64.15	215400	220161	108178	122266	21	5	811 + 7 part	259449	99.424	1.022	2.92	4.86	1.23	4915 + 52 part	498363	209894	209894	80216	89745
M.abscessus_abyss-cabog.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_msrca-mira.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_velvet-sga.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_abyss-msrca.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_velvet-abyss.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_abyss-abyss.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_mira-velvet.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_msrca-msrca.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_abyss-mira.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_sga-cabog.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_MiSeq_cabog-cabog.gam	857	856	5116733	5116310	857	40668	5116733	5090491	64.08	64.15	8655	8716	4755	4805	123	5	5 + 14 part	75046	96.186	1.030	0.00	4.15	0.74	4148 + 740 part	40668	8265	8293	4459	4482
M.abscessus_MiSeq_abyss-mira.gam	220	59	5156822	5129717	103	365366	5142474	5090491	64.10	64.15	169188	169188	88054	89149	9	3	11 + 2 part	5791	99.297	1.020	3.15	4.39	1.42	4897 + 64 part	365366	165234	167182	75469	75469
M.abscessus_velvet-spades.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_velvet-msrca.gam	189	132	5136597	5122117	155	191465	5131723	5090491	64.11	64.15	60955	61615	37038	37038	7	9	1 + 0 part	201	99.169	1.032	0.00	3.11	0.93	4822 + 133 part	191465	58337	58337	32881	33651
M.abscessus_MiSeq_mira-mira.gam	2167	103	5922392	5167879	1760	279306	5859376	5090491	64.08	64.15	81728	114083	33814	51245	2358	37	78 + 122 part	33646	99.429	1.157	5.89	4.05	0.77	4869 + 98 part	257874	64678	74997	24464	39417
M.abscessus_MiSeq_velvet-spades.gam	193	113	5213570	5187461	189	226629	5212798	5090491	64.02	64.15	82656	82656	41923	45957	51	4	52 + 1 part	21091	99.207	1.036	0.06	13.37	6.18	4828 + 135 part	215293	59600	63121	33062	33664
M.abscessus_sga-spades.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_MiSeq_cabog-mira.gam	200	200	5124028	5124028	200	232769	5124028	5090491	64.10	64.15	52022	52022	26823	27591	83	4	0 + 3 part	12073	98.393	1.021	0.14	9.48	3.45	4740 + 197 part	232769	47285	47285	24429	25124
M.abscessus_MiSeq_velvet-msrca.gam	211	128	5162807	5135600	206	255120	5161842	5090491	64.03	64.15	76381	76381	39706	39938	60	4	52 + 2 part	21184	99.150	1.030	0.00	10.64	4.64	4810 + 151 part	162982	64218	64218	30427	32822
M.abscessus_MiSeq_velvet-velvet.gam	286	189	5161555	5127654	279	226629	5160204	5090491	64.02	64.15	47327	48155	25198	26101	80	3	52 + 6 part	50541	98.875	1.021	0.00	2.56	0.70	4736 + 213 part	130350	40129	41485	19931	20445
M.abscessus_MiSeq_velvet-cabog.gam	201	123	5161473	5135195	196	248909	5160508	5090491	64.03	64.15	68758	68758	42002	43819	55	5	52 + 3 part	21197	99.158	1.026	0.00	13.63	5.39	4815 + 146 part	156650	59057	59600	33102	33997
M.abscessus_mira-mira.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_mira-spades.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_MiSeq_abyss-spades.gam	207	42	5151929	5121798	91	506880	5137740	5090491	64.10	64.15	245660	245660	127432	127432	6	4	11 + 1 part	2411	99.205	1.020	3.81	2.48	1.27	4913 + 47 part	506880	220069	220069	103233	110473
M.abscessus_MiSeq_spades-cabog.gam	900	45	5410260	5145623	898	561990	5410011	5090491	62.76	64.15	223078	223078	108178	124927	23	6	811 + 7 part	259449	99.392	1.022	1.79	6.21	1.03	4918 + 48 part	498363	215399	223078	80216	96138
M.abscessus_spades-cabog.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_cabog-msrca.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
M.abscessus_MiSeq_mira-velvet.gam	2164	101	5921809	5167855	1757	279306	5858793	5090491	64.08	64.15	81728	114083	35057	59955	2357	37	78 + 122 part	33646	99.429	1.157	5.87	4.62	1.05	4870 + 97 part	257874	65344	74997	28018	42893
M.abscessus_spades-msrca.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_cabog-spades.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
M.abscessus_MiSeq_msrca-cabog.gam	207	199	5317613	5312352	207	146401	5317613	5090491	64.09	64.15	66428	67253	35345	39755	69	2	0 + 13 part	71174	98.389	1.048	0.00	3.63	2.00	4831 + 98 part	146401	63635	65813	32139	34300
M.abscessus_spades-sga.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_MiSeq_velvet-mira.gam	262	174	5161635	5131864	256	226629	5160477	5090491	64.02	64.15	52446	52446	26587	27540	72	3	52 + 4 part	50482	99.065	1.021	0.02	7.10	2.78	4764 + 198 part	206696	47238	47238	20962	21912
M.abscessus_abyss-velvet.gam	147	87	5134453	5116313	124	610290	5132153	5090491	64.10	64.15	119446	119446	63630	68977	7	8	0 + 1 part	82	99.188	1.032	12.12	3.80	2.22	4875 + 87 part	610150	111763	115738	63561	63561
M.abscessus_spades-abyss.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_cabog-velvet.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
M.abscessus_MiSeq_sga-cabog.gam	696	189	5285143	5156768	583	213290	5265514	5090491	64.08	64.15	47547	49419	24616	25940	182	5	3 + 15 part	61678	99.348	1.028	0.00	5.12	1.48	4803 + 164 part	142675	43981	46164	22271	24924
M.abscessus_MiSeq_sga-spades.gam	557	48	5260927	5130161	444	498253	5241298	5090491	64.08	64.15	215449	215449	108235	109631	181	6	3 + 13 part	7291	99.359	1.037	0.10	2.45	1.60	4909 + 58 part	498253	179681	179681	89856	95160
M.abscessus_MiSeq_msrca-velvet.gam	199	191	5295170	5289967	199	164285	5295170	5090491	64.10	64.15	65098	67253	39014	40577	70	3	0 + 9 part	37324	98.462	1.053	0.00	4.83	2.85	4829 + 103 part	164285	61098	64230	33742	35301
M.abscessus_MiSeq_msrca-spades.gam	165	157	5294474	5289213	165	295816	5294474	5090491	64.09	64.15	96624	104386	53558	56322	69	3	0 + 9 part	2909	98.538	1.055	0.06	2.95	1.57	4860 + 74 part	295816	79990	89539	44968	46518
M.abscessus_MiSeq_spades-spades.gam	910	53	5412372	5146535	908	498363	5412123	5090491	62.76	64.15	215400	220161	108178	122266	21	5	811 + 7 part	259449	99.424	1.022	3.40	4.72	1.07	4913 + 54 part	498363	209894	209894	76980	89745
M.abscessus_MiSeq_mira-sga.gam	2139	82	5916677	5165930	1732	340475	5853661	5090491	64.08	64.15	149583	207785	46469	68807	2354	37	78 + 122 part	33646	99.429	1.156	5.57	4.66	2.29	4884 + 83 part	290104	79853	92766	32428	51245
M.abscessus_MiSeq_mira-msrca.gam	2159	97	5920807	5167513	1752	279306	5857791	5090491	64.08	64.15	88104	118576	36494	59955	2358	37	78 + 122 part	33646	99.429	1.157	5.89	4.58	0.83	4872 + 95 part	257874	67756	79853	28145	42893
M.abscessus_sga-mira.gam	679	281	5183701	5107561	378	101254	5145246	5090491	64.10	64.15	28734	28781	16455	17362	6	1	0 + 1 part	45	99.170	1.019	0.00	1.15	1.49	4712 + 246 part	101254	27601	27760	15137	15975
M.abscessus_MiSeq_velvet-abyss.gam	209	123	5295252	5265139	204	226629	5294287	5090491	64.04	64.15	76381	78588	39106	45957	67	3	52 + 2 part	30190	99.117	1.051	1.36	8.50	4.14	4810 + 150 part	160342	61215	63121	31704	33664
M.abscessus_cabog-cabog.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
M.abscessus_MiSeq_msrca-mira.gam	292	286	5388616	5384837	292	104386	5388616	5090491	64.10	64.15	39502	40091	20670	25070	71	3	1 + 12 part	58633	98.391	1.068	0.00	2.78	1.70	4801 + 128 part	104372	39070	39686	18922	21642
M.abscessus_spades-velvet.gam	99	60	5139836	5122962	96	627055	5139536	5090491	64.10	64.15	150258	150258	94999	107346	6	5	7 + 0 part	1888	99.282	1.024	0.00	2.16	1.66	4896 + 64 part	627055	147871	147871	80282	80282
M.abscessus_msrca-velvet.gam	66	57	5146013	5140375	66	375149	5146013	5090491	64.13	64.15	246830	246830	110872	110872	7	2	0 + 1 part	102	99.348	1.018	0.00	49.65	6.53	4910 + 56 part	309535	187809	187809	88132	88132
M.abscessus_MiSeq_cabog-abyss.gam	172	172	5120751	5120751	172	156763	5120751	5090491	64.10	64.15	63886	63886	30278	30278	75	4	0 + 4 part	24108	98.436	1.017	4.24	9.48	4.31	4763 + 174 part	156591	62582	62582	29508	29691
M.abscessus_cabog-sga.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
M.abscessus_mira-cabog.gam	16036	59	7760947	5136999	3293	338337	5975924	5090491	64.17	64.15	129228	147272	63463	109542	453	6	118 + 525 part	59775	99.414	1.178	36.80	5.97	0.87	4902 + 65 part	313312	115903	129075	49231	88214
M.abscessus_MiSeq_msrca-sga.gam	270	260	5361285	5354551	270	135113	5361285	5090491	64.10	64.15	39755	41834	22946	26855	69	2	1 + 13 part	72162	98.447	1.055	0.00	2.69	1.68	4810 + 122 part	135113	39113	39755	20670	24816
M.abscessus_MiSeq_sga-mira.gam	580	92	5267170	5147482	467	290213	5247541	5090491	64.08	64.15	120181	122489	55981	61002	188	6	3 + 13 part	7291	99.356	1.039	0.42	5.52	1.36	4874 + 93 part	290213	102511	102511	46160	54796
M.abscessus_cabog-mira.gam	127	127	5116091	5116091	127	238341	5116091	5090491	64.10	64.15	81416	81416	42966	42966	10	6	0 + 4 part	29177	98.890	1.012	0.70	9.00	5.98	4827 + 136 part	238341	78165	78165	38617	38766
