ID or #		Start	End
gene2390		2639876	2639952
gene2410		2656667	2657512
gene2411		2657869	2658441
gene2412		2658399	2658830
gene2413		2659000	2659506
gene2478		2756286	2757479
gene2479		2757805	2758356
gene2480		2758502	2760502
gene2481		2760580	2761854
gene2482		2762043	2763683
gene2483		2763646	2764140
gene2484		2764309	2764671
gene2485		2764858	2766162
gene2486		2766342	2766734
gene2487		2766807	2767832
gene2488		2767896	2768540
gene2489		2768795	2770720
gene2490		2770954	2771556
gene2491		2771682	2772539
gene2492		2772551	2774680
gene2493		2775035	2775433
gene2494		2775515	2777659
gene2495		2777706	2778305
gene2497		2781291	2783159
gene2498		2783748	2784413
gene2499		2784413	2786284
gene2500		2786286	2787239
gene2501		2787320	2789038
gene2502		2789048	2789605
gene2503		2789605	2790420
gene2504		2790413	2790826
gene2538		2826979	2827066
gene2539		2827250	2829091
gene2540		2829543	2829618
gene2541		2829621	2829696
gene2590		2887842	2888849
gene2591		2888869	2890722
gene2592		2890819	2891325
gene2593		2891392	2892249
gene2594		2892311	2892982
gene2595		2893155	2893751
gene2596		2893751	2894149
gene2597		2894218	2895564
gene2598		2895639	2895989
gene2599		2896087	2898252
gene2600		2898328	2899146
gene2601		2899292	2900635
gene2602		2900868	2900944
gene2603		2901009	2901560
gene2604		2901652	2903025
gene2605		2903101	2903556
gene2606		2903747	2904973
gene2686		2999464	3001338
gene2687		3001356	3001814
gene2688		3001952	3004618
gene2689		3004713	3006098
gene2690		3005995	3008367
gene2691		3008682	3009494
gene2692		3009584	3009871
gene2693		3010234	3011610
gene2725		3066900	3068234
gene2726		3068367	3068966
gene2730		3070152	3071489
gene2731		3071696	3072076
gene2755		3094830	3096206
gene2756		3096397	3096894
gene2757		3096884	3097579
gene2758		3097576	3098301
gene2759		3098388	3099341
gene2760		3099390	3100058
gene2761		3100055	3100684
gene2762		3100834	3101445
gene2763		3101576	3103807
gene2764		3103864	3104835
gene2765		3104847	3106838
gene2770		3111386	3111461
gene2909		3270167	3273316
gene2910		3273334	3274527
gene2929		3294085	3294327
gene2930		3294525	3295067
gene2931		3295137	3295580
gene2932		3295763	3296974
gene2933		3297650	3298612
gene2934		3298985	3299959
gene2935		3299983	3300750
gene2936		3300747	3301577
gene2937		3301574	3302428
gene2938		3302680	3304344
gene2939		3304433	3305794
gene2940		3305984	3306880
gene2941		3306892	3307224
gene2942		3307225	3307836
gene2943		3307841	3309817
gene2944		3309817	3310860
gene2981		3357741	3359669
gene3025		3414420	3414494
gene3044		3435436	3436662
gene3045		3436764	3437192
gene3046		3437373	3438284
gene3047		3438464	3440242
gene3068		3467969	3468826
gene3069		3468922	3469782
gene3070		3470007	3472100
gene3071		3472132	3473487
gene3072		3473736	3474578
gene3073		3474646	3475347
gene3074		3475463	3476158
gene3075		3476130	3476768
gene3076		3476765	3478510
gene3077		3478574	3479632
gene3088		3487450	3487523
gene3089		3487579	3487654
gene3090		3487862	3491341
gene3091		3491744	3493429
gene3092		3493549	3494532
gene3093		3494534	3495454
gene3094		3495451	3496473
gene3098		3500339	3502207
gene3099		3502424	3503977
gene3100		3504045	3504401
gene3101		3504417	3504698
gene3102		3504699	3507320
gene3103		3507682	3509019
gene3105		3510347	3511102
gene3106		3511202	3512086
gene3107		3512153	3513325
gene3110		3516345	3517253
gene3111		3517441	3518697
gene3112		3518912	3519448
gene3113		3519460	3520272
gene3114		3520457	3522937
gene3115		3523016	3524215
gene3116		3524330	3525640
gene3141		3556958	3557338
gene3142		3557469	3558749
gene3143		3559056	3559910
gene3144		3560086	3560886
gene3145		3560898	3561281
gene3146		3561325	3562173
gene3147		3562173	3563261
gene3148		3563313	3564650
gene3149		3564694	3565278
gene3150		3565305	3566174
gene3151		3566154	3566228
gene3152		3566469	3567485
gene3153		3567588	3569579
gene3154		3569777	3570373
gene3155		3570608	3571699
gene3156		3571935	3572011
gene3157		3572020	3572094
gene3158		3572241	3572315
gene3159		3572357	3572431
gene3160		3572470	3572546
gene3161		3572592	3572666
gene3162		3572703	3572779
gene3163		3572788	3572871
gene3164		3573107	3574939
gene3165		3575202	3575924
gene3166		3575921	3576646
gene3167		3576735	3577445
gene3352		3774651	3775628
gene3353		3775702	3776265
gene3443		3876088	3876163
gene3444		3876192	3876267
gene3450		3881945	3882020
gene3451		3882045	3882120
gene3455		3882454	3882529
gene3528		3969157	3971478
gene3540		3982752	3983534
gene3541		3983544	3984620
gene3576		4017172	4017534
gene3577		4017870	4018298
gene3578		4018374	4020203
gene3579		4020513	4021343
gene3580		4021377	4022486
gene3581		4022787	4024304
gene3582		4024593	4025627
gene3583		4025707	4026948
gene3584		4027082	4028281
gene3585		4028456	4028926
gene3586		4029237	4030343
gene3587		4030504	4032153
gene3704		4141607	4141683
gene3705		4141712	4141788
gene3706		4141817	4141893
gene3707		4141920	4141996
gene3708		4142096	4142172
gene3709		4142176	4142268
gene3710		4142483	4142671
gene3711		4142765	4144012
gene3712		4144029	4146653
gene3803		4234485	4234570
gene3806		4234887	4234972
gene3815		4241948	4242763
gene3840		4268521	4268596
gene3841		4268642	4268717
gene3842		4268721	4268796
gene3843		4268849	4268924
gene3844		4268972	4269739
gene3845		4269811	4270182
gene3858		4287909	4288091
gene3859		4288159	4289586
gene3860		4289736	4291631
gene3861		4291745	4294405
gene3862		4294485	4295249
gene3938		4366322	4366441
gene3964		4398468	4399190
gene4017		4456740	4458845
gene4018		4458921	4459391
gene4019		4459485	4459859
gene4020		4460043	4460351
gene4021		4460329	4460685
gene4022		4460695	4461087
gene4023		4461174	4461554
gene4024		4461580	4462296
gene4025		4462494	4466798
gene4026		4466890	4470981
gene4027		4471143	4471508
gene4028		4471560	4472060
gene4029		4472317	4473018
gene4030		4473023	4473451
gene4031		4473585	4474136
gene4032		4474146	4474517
gene4033		4474578	4474654
gene4035		4476064	4476138
gene4036		4476177	4476261
gene4132		4580838	4581680
gene4133		4581677	4582579
gene4134		4582579	4583733
gene4135		4583809	4584894
gene4136		4585012	4586109
gene4137		4586164	4587525
gene4138		4587713	4589044
gene4139		4589513	4589899
gene4140		4590070	4590927
gene4141		4590979	4591425
gene4142		4591447	4591926
gene4143		4592004	4592993
gene4144		4593085	4594464
gene4145		4594436	4595038
gene4146		4595109	4595957
gene4147		4596071	4597792
gene4148		4598015	4599019
gene4149		4599016	4600149
gene4150		4600278	4601033
gene4151		4601040	4601678
gene4152		4601675	4604071
gene4153		4604068	4604790
gene4154		4604787	4605362
gene4155		4605362	4605883
gene4156		4605931	4606887
gene4157		4606989	4608884
gene4158		4608995	4610074
gene4159		4610187	4610966
gene4160		4610986	4612092
gene4161		4612089	4613312
gene4162		4613309	4613872
gene4163		4613869	4614936
gene4164		4614933	4615706
gene4165		4615748	4616581
gene4166		4616605	4617909
gene4167		4617943	4619079
gene4168		4620296	4621396
gene4169		4621433	4622389
gene4170		4622548	4623735
gene4171		4623732	4624790
gene4172		4624790	4626160
gene4173		4626160	4626909
gene4174		4626909	4627142
gene4175		4627139	4627675
gene4176		4627840	4628535
gene4177		4628525	4629781
gene4178		4629788	4630834
gene4179		4630827	4632122
gene4180		4632119	4632379
gene4224		4678551	4679618
gene4257		4714873	4716234
gene4258		4716285	4717646
gene4259		4717741	4718160
gene4260		4718188	4719576
gene4261		4719610	4720476
gene4262		4720520	4722061
gene4263		4722077	4722610
gene4264		4722624	4723094
gene4265		4723147	4723389
gene4266		4723448	4724230
gene4267		4724239	4724631
gene4268		4724840	4725748
gene4269		4725745	4726548
gene4270		4726557	4727201
gene4271		4727222	4729111
gene4273		4730433	4732562
gene4274		4732642	4734300
gene4275		4734323	4735087
gene4276		4735106	4736032
gene4277		4736029	4738011
gene4278		4738082	4739443
gene4279		4739553	4741199
gene4280		4741205	4741432
gene4281		4741420	4741779
gene4282		4741779	4741913
gene4283		4742183	4742917
gene4284		4742930	4743598
gene4285		4743599	4744357
